15:15:04: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 55] Logger initialized
15:15:10: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 90.0
15:15:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285) m/s
15:15:10: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 26.565051177077994
15:15:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333) m/s
15:15:11: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 45.0
15:15:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (3.75, 0.0, 0.125) m/s
15:15:11: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 90.0
15:15:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941) m/s
15:15:12: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 45.0
15:15:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111) m/s
15:15:12: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 90.0
15:15:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 0.10526315789473684) m/s
15:15:13: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 135.0
15:15:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 1.0, 0.1) m/s
15:15:13: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -26.565051177077994
15:15:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523) m/s
15:15:14: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -45.0
15:15:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091) m/s
15:15:14: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -90.0
15:15:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
15:15:15: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -45.0
15:15:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
15:15:15: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -90.0
15:15:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (2.4, 2.4, 0.08) m/s
15:15:16: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -135.0
15:15:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
15:15:16: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -63.43494882292201
15:15:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
15:15:17: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -90.0
15:15:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142) m/s
15:15:17: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -116.56505117707799
15:15:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931) m/s
15:15:18: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -45.0
15:15:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667) m/s
15:15:18: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -63.43494882292201
15:15:19: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 0.06451612903225806) m/s
15:15:19: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: -90.0
