19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
19:11:32: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:33: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
19:11:33: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:33: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
19:11:33: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:34: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
19:11:34: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:34: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
19:11:34: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:35: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
19:11:35: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:35: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (3.75, 0.0, 0.125)
19:11:35: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:36: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
19:11:36: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:36: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
19:11:36: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:37: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 0.10526315789473684)
19:11:37: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:37: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 1.0, 0.1)
19:11:37: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:38: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
19:11:38: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:38: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 2.727272727272727, 0.09090909090909091)
19:11:38: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:39: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
19:11:39: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:39: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
19:11:39: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:40: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (2.4, 2.4, 0.08)
19:11:40: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:40: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
19:11:40: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:41: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
19:11:41: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:41: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (2.142857142857143, 0.0, 0.07142857142857142)
19:11:41: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:42: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
19:11:42: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:42: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
19:11:42: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:43: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 0.06451612903225806)
19:11:43: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
