00:39:47: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
00:39:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 90.00
00:39:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 45.00
00:39:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 90.00
00:39:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 135.00
00:39:58: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -26.57
00:39:58: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -45.00
00:39:59: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -90.00
00:39:59: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -45.00
00:40:00: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -90.00
00:40:00: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -135.00
00:40:01: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -63.43
00:40:01: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -90.00
00:40:02: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -116.57
00:40:02: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -45.00
00:40:03: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -63.43
00:40:03: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: -90.00
